Région,Nature,Type,Texte annonce,Prix,Modifiée
El Menzah 9,Vente,Maisons,Villa 1090 md a menzah 9,1090000.0,2024-04-12
El Hessiene,Vente,Maisons,Villa haut standing,1150000.0,2024-04-12
Cite Jardins,Vente,Autre,Bureau h plus 3 à al,379000.0,2024-04-12
El Menzah 5,Vente,Duplex,Triplex rénové luxe,650000.0,2024-04-12
Chotrana 1,Vente,App. 2 pièc,Apprt s1à chotrana 1,165000.0,2024-04-12
Hammamet,Vente,Maisons,V486 villa hanin 22 el b,850000.0,2024-04-12
Hammamet,Vente,App. 1 pièc,Appartement pied dan,670000.0,2024-04-12
Ghar El Melh,Vente,App. 2 pièc,4 appartments,150000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Appt s plus 2 à el aouin,220000.0,2024-04-12
Hammam Lif,Vente,Maisons,Petit immeuble hammam li,360000.0,2024-04-12
El Aouina,Vente,App. 4 pièc,S plus 4 a cite al wahat,365000.0,2024-04-12
Hammamet,Vente,Maisons,V489 villa tej 2 sidi ha,780000.0,2024-04-12
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s2  avec,120000.0,2024-04-12
La Soukra,Vente,Maisons,Villa neuve la soukra st,1480000.0,2024-04-12
Ariana,Vente,App. 2 pièc,Appartement s1 neuf,202000.0,2024-04-12
Bou Mhel,Vente,Maisons,Maisons s2 boumhal bassa,248000.0,2024-04-12
La Soukra,Vente,Maisons,Villa style triplex la s,1400000.0,2024-04-12
Riadh Landlous,Vente,Maisons,Villa de maitre à riadh,1650000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Appartement splus 2 à  la,210000.0,2024-04-12
El Mourouj,Vente,Autre,Villa trois niveaux bil,500000.0,2024-04-12
Cite El Khalil,Vente,Maisons,Maison usage commercial,540000.0,2024-04-12
Nouvelle Medina,Vente,App. 2 pièc,Av s2 médina jadida,108000.0,2024-04-12
El Aouina,Vente,App. 3 pièc,Appt s s plus 2 à réside,285000.0,2024-04-12
Cite Bhar Lazre,Vente,App. 3 pièc,Apprt encours de construc,340000.0,2024-04-12
Ariana,Vente,Surfaces,Murs local a ariana,90000.0,2024-04-12
