Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
El Manar 2,Vente,App. 4 pièc,S3 420 md manar 2,420000.0,2024-04-12,Moyen-Haut,4720000.0,1573333.3333333333,Appartement,4.0,,150
Hammam Sousse,Vente,App. 4 pièc,Standing s 3 à la ru,345000.0,2024-04-12,Moyen-Bas,1155000.0,231000.0,Appartement,4.0,,150
El Mourouj,Vente,Duplex,Duplex mourouj 1,570000.0,2024-04-12,Moyen-Haut,4922000.0,273444.44444444444,Autre,4.0,,300
Jardins de Cart,Vente,App. 2 pièc,S2 luxe au jardin de car,480000.0,2024-04-12,Moyen-Haut,3786620.0,757324.0,Appartement,2.0,,150
El Mourouj,Vente,App. 3 pièc,Appartement s2 spacieux,150000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,3.0,,150
Borj Cedria,Vente,App. 5 pièc,Appatrtement  5 pieces,230000.0,2024-04-12,Bas,1525000.0,381250.0,Appartement,5.0,,150
Berge Du Lac,Vente,Duplex,Un duplex avec jardin da,1850000.0,2024-04-12,Haut,1950000.0,975000.0,Autre,5.0,,300
Gammart,Vente,Maisons,Maison cité rabii s2,180000.0,2024-04-12,Bas,7130000.0,1188333.3333333333,Maison,3.0,,150
Kelibia,Vente,Surfaces,Terrain 335 m2 à el mars,142000.0,2024-04-12,Bas,2472000.0,353142.85714285716,Surface,3.0,,150
Dar Chaabane Pl,Vente,Maisons,Villa lido,680000.0,2024-04-12,Moyen-Haut,680000.0,680000.0,Villa,4.0,,300
Ezzahra,Vente,App. 3 pièc,Appartement s3 hst ezzah,330000.0,2024-04-12,Moyen-Bas,1155000.0,385000.0,Appartement,3.0,,150
Cite De La Plag,Vente,Maisons,Villa r plus 2 cité,1170000.0,2024-04-12,Haut,1170000.0,1170000.0,Villa,5.0,,300
El Aouina,Vente,App. 2 pièc,S2 neuf direct promoteur,327000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,2.0,,150
El Aouina,Vente,App. 3 pièc,Appartement s2 avec place,270000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
