Région,Type de bien,Nature,Superficie,Nb_Salles De bain,Nb_Chambres,Prix,Date_De_Modification,Texte Annonce
Nabeul,N/A,À Vendre,1250,4,5,12,2024-12-10,N/A
La Manouba,N/A,À Vendre,500,0,0,650000,2024-12-10,N/A
Bizerte,N/A,À Vendre,270,0,3,350000,2024-12-10,N/A
Ariana,N/A,À Vendre,380,6,5,1200000,2024-12-10,N/A
Bizerte,N/A,À Vendre,252,2,1,449996,2024-12-10,N/A
Ariana,N/A,À Vendre,85,2,4,175000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,135,2,9,240000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,245,2,8,400000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,300,3,7,540000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,90,2,7,155000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,187,1,3,230000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,300,1,5,280000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,150,2,4,350000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,400,3,7,650000,2024-12-10,N/A
Ariana,N/A,À Vendre,530,3,6,450000,2024-12-10,N/A
Tunis,N/A,À Vendre,100,2,8,210000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,135,2,8,240000,2024-12-10,N/A
Ben Arous,N/A,À Vendre,187,1,5,235000,2024-12-10,N/A
Tunis,N/A,À Vendre,120,2,5,270000,2024-12-10,N/A
Ariana,N/A,À Vendre,260,5,4,0,2024-12-10,N/A
Ariana,N/A,À Vendre,1000,3,6,0,2024-12-10,N/A
Tunis,N/A,sale,N/A,4.0,N/A,1350000,2024-12-10,N/A
Tunis,N/A,sale,N/A,2.0,N/A,1600000,2024-12-10,N/A
Tunis,N/A,À Vendre,280,2,8,1,2024-12-10,N/A
Ariana,N/A,À Vendre,350,1,4,420000,2024-12-10,N/A
Ariana,N/A,À Vendre,332,3,3,790000,2024-12-10,N/A
